期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
7001,22,24,29,31,35,4,11
7002,15,22,31,34,35,5,12
7003,3,4,18,23,32,1,6
7004,6,10,16,17,25,2,4
7005,1,9,19,20,30,2,11
7006,1,16,20,23,28,3,6
7007,14,16,25,26,35,4,9
7008,2,8,11,21,23,4,7
7009,1,3,9,19,34,9,12
7010,6,8,18,29,34,9,11
7011,29,32,33,34,35,9,10
7012,3,12,15,29,34,7,11
7013,12,17,27,29,34,6,9
7014,1,2,7,29,32,6,7
7015,2,8,12,13,17,11,12
7016,1,14,19,24,31,3,12
7017,13,14,29,32,34,3,12
7018,3,4,16,23,28,6,9
7019,3,6,17,22,23,4,6
7020,2,6,11,12,18,5,12
7021,2,4,24,29,33,1,2
7022,8,10,12,23,25,3,10
7023,8,10,23,32,34,8,10
7024,6,16,20,25,31,4,9
7025,22,24,26,27,34,2,10
7026,5,9,13,33,35,1,8
7027,2,3,10,19,27,6,10
7028,20,26,30,34,35,3,10
7029,15,22,25,29,35,9,11
7030,11,14,27,33,35,2,7
7031,3,21,27,31,32,6,8
7032,1,13,21,23,32,4,11
7033,1,5,8,14,22,3,12
7034,6,8,11,13,22,2,11
7035,7,11,16,31,32,1,12
7036,15,18,21,27,34,1,2
7037,1,6,7,17,31,11,12
7038,6,21,25,27,32,8,9
7039,10,11,20,21,35,7,11
7040,5,21,25,28,35,1,4
7041,3,16,17,22,35,1,8
7042,7,10,22,31,35,5,6
7043,4,9,22,24,31,2,6
7044,4,5,7,12,26,1,10
7045,9,16,20,26,35,11,12
7046,4,16,18,23,30,1,10
7047,1,6,15,19,35,2,9
7048,8,25,26,29,35,6,8
7049,9,10,15,17,32,4,6
7050,13,21,22,30,35,1,11
7051,3,7,24,28,35,8,11
7052,1,14,29,32,33,5,10
7053,11,16,19,21,25,1,10
7054,4,10,19,29,34,3,6
7055,10,16,24,31,33,7,10
7056,4,11,17,20,21,5,9
7057,14,16,30,32,35,6,7
7058,8,21,25,28,33,2,6
7059,4,15,23,31,33,3,9
7060,12,13,29,30,31,4,7
7061,2,10,19,28,29,2,9
7062,1,4,10,14,29,11,12
7063,10,31,33,34,35,7,12
7064,2,16,32,33,35,5,10
7065,19,20,24,29,31,9,10
7066,4,7,8,19,24,7,12
7067,11,18,25,30,31,4,9
7068,4,9,13,14,33,6,10
7069,2,13,16,21,35,1,5
7070,7,26,29,30,35,3,4
7071,10,22,32,33,35,1,7
7072,21,24,26,27,33,1,5
7073,4,5,9,12,23,2,11
7074,16,17,23,24,31,5,10
7075,5,11,20,30,32,7,11
7076,2,9,12,15,31,9,10
7077,4,6,12,13,24,1,4
7078,9,12,14,22,23,1,2
7079,6,9,25,26,31,2,8
7080,1,15,20,25,27,5,10
7081,6,18,20,22,35,4,9
7082,3,5,14,33,34,7,8
7083,1,5,20,21,24,3,4
7084,5,11,18,29,34,10,11
7085,17,24,28,29,33,2,5
7086,14,18,19,26,28,3,9
7087,8,18,30,31,33,4,9
7088,17,18,21,23,33,6,10
7089,8,13,24,30,34,1,12
7090,4,20,24,31,33,9,12
7091,7,12,26,31,32,3,8
7092,6,19,27,28,29,6,10
7093,6,8,16,25,27,8,12
8001,1,2,11,34,35,3,10
8002,1,12,24,31,32,10,12
8003,1,11,13,32,35,2,7
8004,9,22,24,31,33,8,9
8005,18,25,29,31,34,9,10
8006,10,12,26,29,34,5,7
8007,3,4,5,12,28,3,12
8008,2,6,8,17,32,8,9
8009,4,8,12,24,30,5,8
8010,6,23,24,27,29,6,8
8011,14,20,22,24,27,7,10
8012,2,10,29,32,35,2,3
8013,1,11,19,22,35,5,9
8014,4,7,10,28,34,1,6
8015,9,18,20,27,33,6,9
8016,8,10,11,17,19,6,9
8017,2,14,25,29,32,1,6
8018,3,6,7,11,30,2,3
8019,8,24,25,29,31,4,5
8020,4,5,15,17,33,4,8
8021,5,10,13,21,24,4,9
8022,9,12,13,25,31,8,10
8023,6,26,31,32,34,7,10
8024,8,12,17,20,30,1,2
8025,6,10,12,15,28,4,12
8026,1,21,22,24,25,8,10
8027,5,17,23,31,32,4,8
8028,3,11,17,19,26,7,12
8029,6,11,18,29,30,4,11
8030,3,21,23,26,35,5,8
8031,14,20,23,27,28,2,4
8032,3,9,19,27,33,9,10
8033,3,10,21,23,30,1,9
8034,6,7,18,34,35,5,10
8035,2,12,13,29,30,5,7
8036,9,19,22,30,32,1,10
8037,11,20,24,31,35,4,10
8038,12,13,19,32,33,2,10
8039,7,11,15,27,35,4,7
8040,4,8,19,22,29,8,11
8041,7,17,21,22,28,5,10
8042,5,10,13,32,35,4,5
8043,5,8,10,31,33,2,4
8044,2,21,23,27,32,10,11
8045,14,32,33,34,35,2,4
8046,11,25,26,27,35,7,8
8047,12,18,22,23,30,6,12
8048,1,13,22,25,27,2,10
8049,1,11,14,28,30,3,10
8050,1,5,11,26,27,3,7
8051,1,7,9,11,33,3,11
8052,3,18,19,30,35,5,9
8053,1,13,21,23,32,3,6
8054,5,14,23,31,35,2,6
8055,2,14,28,30,35,4,12
8056,15,19,25,30,31,3,9
8057,5,8,9,17,33,5,6
8058,3,9,11,29,33,3,12
8059,7,13,21,25,31,8,10
8060,3,13,17,23,30,1,11
8061,7,10,14,19,32,3,6
8062,1,15,27,28,29,3,10
8063,7,11,24,30,35,6,8
8064,14,18,24,27,31,6,7
8065,19,22,23,25,32,6,12
8066,2,7,21,22,25,4,12
8067,3,10,14,15,22,4,7
8068,6,9,11,33,34,6,10
8069,5,13,16,29,33,6,8
8070,9,17,18,21,31,1,5
8071,1,5,11,14,25,1,9
8072,10,25,32,33,34,3,9
8073,2,5,6,7,31,8,10
8074,10,13,22,31,35,4,12
8075,1,10,13,30,33,6,7
8076,3,5,10,27,34,1,12
8077,1,8,21,33,34,5,7
8078,8,17,20,28,31,7,11
8079,20,23,26,32,33,5,12
8080,6,9,29,31,33,5,11
8081,7,8,20,22,29,4,7
8082,15,19,29,33,35,1,2
8083,6,14,15,30,31,3,10
8084,2,17,20,22,25,5,11
8085,3,7,13,15,19,2,10
8086,1,6,10,22,35,3,7
8087,14,22,32,33,35,1,5
8088,7,11,19,27,31,2,3
8089,8,13,24,32,33,3,9
8090,4,11,18,33,34,2,6
8091,9,13,19,22,25,4,10
8092,3,23,26,32,34,4,9
8093,6,7,10,24,30,5,8
8094,7,12,19,27,34,11,12
8095,3,4,11,21,25,1,7
8096,6,7,12,25,28,2,12
8097,1,10,31,33,35,3,10
8098,7,10,22,27,33,4,8
8099,3,18,23,25,30,6,10
8100,12,20,26,29,30,2,6
8101,10,13,23,31,33,4,11
8102,5,25,26,29,35,3,10
8103,2,11,22,30,34,4,9
8104,7,8,10,24,34,8,11
8105,12,21,22,26,35,4,5
8106,3,5,21,28,33,2,6
8107,1,2,13,15,16,4,9
8108,11,16,24,29,32,9,11
8109,1,10,18,28,34,5,8
8110,5,16,25,27,33,4,9
8111,2,11,12,14,19,5,9
8112,4,18,26,32,33,5,8
8113,11,14,17,19,22,1,8
8114,2,3,22,27,31,6,7
8115,7,9,19,21,33,7,10
8116,6,8,15,24,31,1,3
8117,13,23,24,25,30,2,8
8118,6,9,19,25,30,6,12
8119,1,2,10,19,27,1,11
8120,21,23,24,25,32,3,4
8121,11,23,24,32,35,4,10
8122,3,6,12,20,29,9,12
8123,1,6,12,28,31,8,9
8124,2,10,13,29,33,6,10
8125,1,4,28,33,34,6,11
8126,9,29,32,34,35,1,8
8127,8,21,22,31,33,1,7
8128,12,15,23,24,25,10,11
8129,13,16,20,25,27,4,5
8130,3,5,22,29,34,7,12
8131,8,9,12,21,32,7,11
8132,6,14,24,27,29,5,9
8133,10,12,15,33,35,3,9
8134,11,13,15,28,35,8,10
8135,7,22,25,29,33,1,12
8136,3,28,29,32,34,1,6
8137,1,10,25,32,35,5,9
8138,4,5,18,22,35,7,8
8139,1,6,10,14,22,6,8
8140,2,9,11,29,32,8,9
8141,9,15,18,30,34,4,5
8142,6,18,21,30,35,8,9
8143,1,2,22,29,32,1,4
8144,10,19,27,28,33,5,12
8145,5,16,27,29,30,5,11
8146,9,23,24,26,33,7,12
8147,16,18,19,24,35,11,12
8148,3,7,20,33,35,4,7
8149,2,5,6,27,29,3,4
8150,1,9,10,15,25,3,8
8151,7,10,27,31,34,8,9
8152,3,5,14,20,33,7,11
8153,2,4,6,25,26,2,5
8154,5,7,10,29,32,4,6
9001,1,15,23,27,30,4,10
9002,1,4,7,12,30,5,10
9003,16,18,23,30,32,2,11
9004,1,3,22,32,35,6,10
9005,10,11,15,31,32,5,8
9006,2,4,22,31,35,9,12
9007,6,14,15,29,35,6,11
9008,4,17,21,29,31,2,12
9009,12,18,23,26,32,6,9
9010,2,9,12,21,29,7,11
9011,2,11,13,14,21,2,4
9012,2,5,20,25,31,10,12
9013,5,24,26,30,35,5,12
9014,8,14,15,25,26,7,9
9015,1,5,10,16,27,3,4
9016,10,11,20,26,27,9,11
9017,5,11,23,26,33,4,12
9018,1,6,13,28,29,3,9
9019,4,29,31,32,35,4,10
9020,5,16,18,32,35,2,11
9021,1,15,31,32,34,3,8
9022,12,14,17,34,35,4,11
9023,15,17,21,27,33,7,11
9024,29,31,32,33,35,10,11
9025,3,17,22,23,33,4,10
9026,24,30,31,32,34,10,12
9027,3,22,26,33,34,9,10
9028,6,20,30,32,35,9,11
9029,3,4,13,17,24,4,11
9030,1,7,27,30,32,1,4
9031,7,11,19,21,22,1,11
9032,4,12,20,26,29,6,10
9033,2,8,18,21,32,8,11
9034,5,19,31,32,35,4,9
9035,3,7,9,28,33,3,8
9036,2,12,26,31,33,9,10
9037,17,18,19,25,31,1,11
9038,6,17,20,29,32,4,5
9039,1,3,7,10,33,3,4
9040,3,16,30,32,33,1,10
9041,5,9,20,23,29,4,10
9042,11,24,25,26,31,2,7
9043,5,21,22,32,35,2,5
9044,1,7,18,29,34,3,9
9045,1,9,14,24,35,6,9
9046,1,9,24,34,35,4,9
9047,13,18,21,24,29,3,6
9048,5,6,22,25,27,11,12
9049,5,16,28,29,34,11,12
9050,5,15,28,32,33,8,9
9051,3,11,22,26,29,5,12
9052,23,24,30,34,35,1,3
9053,5,9,24,31,33,5,6
9054,2,12,19,29,30,7,12
9055,5,8,14,23,24,5,6
9056,4,13,17,32,35,3,6
9057,6,15,22,27,30,2,9
9058,8,10,14,27,32,2,7
9059,2,13,14,29,33,4,11
9060,18,28,29,30,31,4,8
9061,2,10,21,26,34,2,10
9062,4,22,23,29,31,5,11
9063,5,6,18,21,22,1,7
9064,6,10,11,17,34,11,12
9065,1,12,24,27,32,2,11
9066,1,8,19,24,31,6,12
9067,3,6,25,28,32,2,5
9068,2,12,15,20,28,1,12
9069,14,16,27,30,33,8,12
9070,10,21,24,30,31,3,10
9071,4,20,29,30,33,2,11
9072,23,26,29,32,33,5,10
9073,1,10,19,21,30,1,4
9074,15,17,19,23,32,1,11
9075,1,7,11,32,33,9,11
9076,3,9,11,18,24,4,5
9077,7,20,28,32,34,6,8
9078,11,23,26,31,34,5,11
9079,1,2,7,13,34,4,10
9080,7,16,19,29,35,2,11
9081,2,15,20,25,33,3,6
9082,5,11,26,29,32,8,11
9083,2,5,28,34,35,1,7
9084,5,9,19,26,35,2,10
9085,6,13,27,33,34,9,12
9086,1,2,7,26,29,10,12
9087,10,24,28,30,33,1,10
9088,13,16,27,32,34,3,9
9089,3,6,11,19,27,2,7
9090,18,25,30,33,34,4,10
9091,1,5,17,32,34,3,7
9092,10,21,22,27,29,8,12
9093,7,9,22,30,33,9,11
9094,1,5,21,23,29,5,12
9095,8,18,24,30,33,1,6
9096,7,12,28,32,33,1,3
9097,6,13,14,22,25,1,4
9098,11,17,19,25,26,2,10
9099,3,9,21,23,33,6,10
9100,16,20,25,29,33,1,8
9101,2,10,14,22,26,4,9
9102,11,13,29,32,35,10,12
9103,16,20,28,32,33,1,2
9104,15,25,29,32,33,10,11
9105,1,25,26,34,35,6,11
9106,11,21,22,25,34,6,9
9107,11,12,33,34,35,1,10
9108,1,9,14,29,30,7,10
9109,2,11,13,26,35,6,10
9110,22,28,30,31,34,7,9
9111,4,11,13,19,35,10,12
9112,2,8,12,34,35,4,5
9113,3,4,10,18,27,6,8
9114,2,8,25,29,33,3,7
9115,1,2,6,8,26,5,12
9116,12,15,23,30,33,9,12
9117,7,21,29,31,33,9,10
9118,10,17,18,21,34,5,11
9119,3,12,22,23,28,4,12
9120,11,23,27,28,32,2,5
9121,4,5,8,11,22,2,10
9122,1,2,11,31,33,5,6
9123,10,21,28,29,32,6,10
9124,1,3,14,32,35,7,11
9125,8,20,23,29,31,2,11
9126,14,23,27,28,33,8,12
9127,5,9,27,32,34,5,8
9128,6,21,28,32,34,4,7
9129,2,10,18,32,33,3,8
9130,9,14,25,32,34,2,8
9131,2,3,8,33,34,3,11
9132,2,10,12,15,28,4,7
9133,1,8,24,27,34,10,11
9134,2,16,19,28,33,7,11
9135,6,8,15,20,32,5,6
9136,7,13,23,24,29,6,10
9137,12,28,29,30,34,1,9
9138,3,4,14,28,32,9,10
9139,14,16,20,22,32,5,9
9140,7,8,19,26,30,1,12
9141,13,14,21,30,33,2,8
9142,5,6,13,24,31,3,11
9143,1,9,10,11,22,1,12
9144,18,26,32,33,34,4,6
9145,5,11,14,22,35,3,10
9146,11,17,23,24,25,3,6
9147,6,12,18,22,29,5,8
9148,2,4,13,14,33,1,9
9149,1,3,10,12,20,2,7
9150,4,11,18,25,34,5,7
9151,3,8,14,30,31,4,9
9152,1,23,29,30,32,7,12
9153,21,22,30,32,34,3,7
10001,2,6,7,12,27,2,8
10002,4,23,25,26,30,7,10
10003,5,14,23,27,30,2,8
10004,3,6,21,24,34,4,6
10005,4,17,19,22,30,2,3
10006,3,13,19,30,34,2,5
10007,7,23,26,29,32,8,11
10008,11,23,25,31,32,5,11
10009,2,5,13,27,32,3,11
10010,15,22,24,32,35,2,9
10011,2,3,11,27,32,8,11
10012,20,24,30,31,33,5,12
10013,18,21,22,26,34,9,12
10014,18,19,30,33,35,2,4
10015,3,10,14,18,28,8,10
10016,10,12,20,23,32,4,10
10017,13,21,23,27,34,9,12
10018,3,10,26,32,33,4,12
10019,3,11,19,26,27,2,9
10020,8,18,26,32,33,1,6
10021,11,20,23,24,25,7,9
10022,2,11,13,14,25,2,5
10023,11,13,29,32,33,2,8
10024,3,14,19,24,25,4,11
10025,9,11,13,14,25,1,7
10026,5,23,25,31,35,7,10
10027,5,23,26,32,34,2,9
10028,1,2,7,20,35,1,3
10029,21,22,33,34,35,3,4
10030,10,12,19,32,35,2,7
10031,5,13,16,17,35,6,8
10032,13,16,23,24,33,7,11
10033,12,19,28,29,30,5,8
10034,1,6,19,25,26,3,9
10035,14,16,20,31,34,1,7
10036,19,25,28,31,33,1,8
10037,19,21,26,34,35,1,9
10038,8,10,25,29,33,1,2
10039,7,19,26,28,32,1,8
10040,13,20,26,31,35,2,11
10041,16,22,28,29,34,4,12
10042,1,5,19,34,35,6,7
10043,5,8,10,33,35,2,10
10044,6,21,24,28,30,2,7
10045,8,17,18,20,28,9,10
10046,2,15,19,26,27,5,6
10047,4,8,11,30,31,2,8
10048,2,3,10,12,25,3,9
10049,1,25,29,31,33,4,10
10050,7,8,15,30,35,5,10
10051,6,10,20,24,32,6,10
10052,4,6,25,29,32,5,6
10053,9,19,22,26,34,9,11
10054,12,25,29,30,33,10,11
10055,13,14,17,27,32,2,10
10056,5,9,23,25,30,9,12
10057,15,17,24,32,35,7,9
10058,6,15,17,19,30,1,12
10059,6,10,14,25,34,1,3
10060,10,13,22,33,34,1,5
10061,5,12,14,17,22,5,7
10062,6,7,18,30,31,7,8
10063,7,14,16,30,31,3,6
10064,7,10,12,20,21,6,9
10065,5,8,13,14,32,8,11
10066,15,21,22,24,27,1,6
10067,1,11,19,30,32,3,10
10068,11,17,19,20,34,6,10
10069,6,17,18,25,29,8,9
10070,5,14,23,25,28,11,12
10071,7,12,26,30,32,2,7
10072,5,10,17,23,25,3,10
10073,4,9,11,30,32,1,11
10074,3,7,20,27,32,2,12
10075,10,12,17,23,27,5,7
10076,9,12,16,19,35,2,12
10077,6,7,9,17,24,2,12
10078,2,3,15,28,35,1,11
10079,1,4,21,22,24,2,5
10080,8,19,27,29,34,4,10
10081,14,18,20,24,27,5,10
10082,5,8,24,29,30,4,6
10083,7,11,21,22,35,4,7
10084,3,13,14,22,26,2,5
10085,2,10,16,18,34,2,3
10086,1,2,12,19,35,5,7
10087,1,12,20,21,24,2,8
10088,3,5,14,30,35,3,6
10089,4,10,13,18,23,8,10
10090,8,24,26,31,32,7,9
10091,6,10,23,26,31,5,7
10092,2,15,29,30,34,2,12
10093,2,4,9,28,29,5,8
10094,20,32,33,34,35,6,7
10095,12,14,16,19,25,1,6
10096,4,9,24,30,35,1,10
10097,9,17,21,28,29,2,8
10098,2,3,12,13,25,1,7
10099,3,11,17,21,30,1,8
10100,19,20,30,33,35,6,8
10101,11,15,22,27,35,5,8
10102,4,15,19,24,35,1,10
10103,10,14,29,30,35,5,8
10104,14,25,30,32,33,1,11
10105,5,17,26,27,35,8,9
10106,5,27,28,29,34,9,12
10107,14,17,22,27,34,3,5
10108,1,10,13,19,34,9,12
10109,1,2,8,11,25,10,12
10110,21,29,30,33,35,7,11
10111,3,6,13,14,29,1,2
10112,14,15,18,34,35,8,10
10113,5,16,22,23,32,4,10
10114,3,7,22,25,35,3,11
10115,5,7,10,15,32,3,8
10116,14,22,27,28,35,4,10
10117,4,6,21,27,34,5,9
10118,19,22,23,29,35,8,10
10119,5,13,14,23,26,2,3
10120,8,10,18,34,35,6,10
10121,21,22,31,32,34,2,12
10122,5,6,11,13,26,2,7
10123,18,20,30,32,33,1,11
10124,1,9,27,29,34,1,6
10125,1,7,9,14,19,9,12
10126,3,5,9,13,33,5,11
10127,3,22,24,30,33,4,10
10128,6,17,19,29,35,2,8
10129,14,15,24,25,26,3,7
10130,5,6,9,10,34,8,11
10131,10,15,22,28,29,4,12
10132,18,21,23,25,29,6,11
10133,11,16,17,21,22,3,6
10134,9,12,13,19,30,4,5
10135,14,17,19,26,32,3,4
10136,3,13,18,30,33,7,8
10137,22,27,28,33,35,9,11
10138,8,12,14,19,27,5,6
10139,3,13,16,19,29,7,9
10140,6,18,20,30,31,3,6
10141,5,11,17,23,33,3,10
10142,10,11,19,21,27,4,6
10143,10,16,18,22,27,6,8
10144,2,11,16,22,31,10,11
10145,18,19,27,28,33,3,6
10146,14,17,30,31,34,4,10
10147,1,15,19,21,23,11,12
10148,3,4,8,10,35,2,6
10149,5,22,24,25,30,1,6
10150,5,24,28,29,35,1,9
10151,1,10,32,33,35,3,8
10152,2,5,18,22,23,7,12
10153,6,7,16,24,35,4,6
11001,7,8,15,32,34,5,12
11002,11,13,27,28,29,2,6
11003,1,24,27,30,31,1,6
11004,7,8,10,23,25,7,9
11005,1,7,25,27,30,7,12
11006,2,8,16,26,35,11,12
11007,14,24,32,33,35,2,9
11008,1,23,26,27,30,5,6
11009,9,10,11,14,24,3,8
11010,4,8,10,14,27,5,7
11011,2,17,23,24,30,2,9
11012,3,12,19,25,30,8,11
11013,5,8,14,28,30,4,6
11014,2,14,20,21,24,2,9
11015,8,18,19,22,23,1,3
11016,15,20,30,33,35,6,9
11017,16,19,24,26,31,2,4
11018,16,22,24,32,34,2,10
11019,8,21,23,27,33,6,11
11020,9,12,19,22,28,1,5
11021,1,9,13,17,30,2,8
11022,9,14,24,25,34,1,4
11023,5,13,16,18,24,2,12
11024,12,15,16,20,33,8,12
11025,8,9,25,28,29,2,10
11026,1,9,15,20,29,7,9
11027,5,14,25,34,35,2,5
11028,1,2,13,17,28,1,4
11029,3,9,17,24,28,6,12
11030,15,19,25,30,33,3,8
11031,12,17,19,22,35,4,11
11032,7,16,23,31,33,3,10
11033,3,19,24,29,33,3,9
11034,3,6,9,17,27,3,9
11035,3,4,13,15,32,4,9
11036,3,18,29,30,33,8,9
11037,1,12,14,22,24,10,12
11038,7,9,11,13,33,10,12
11039,1,11,14,22,34,6,8
11040,3,7,15,18,20,1,6
11041,4,5,11,13,25,3,6
11042,6,9,18,30,32,10,12
11043,2,8,23,33,35,5,10
11044,11,21,24,26,31,6,7
11045,13,21,22,29,31,7,11
11046,9,15,16,19,29,4,6
11047,2,15,22,33,35,5,8
11048,13,17,25,27,28,2,3
11049,5,6,10,22,25,1,9
11050,4,7,29,32,33,8,10
11051,6,8,12,17,18,5,10
11052,13,24,31,32,33,3,9
11053,3,16,28,31,32,1,9
11054,5,9,16,26,35,3,10
11055,1,7,31,32,35,2,10
11056,3,5,29,30,31,8,10
11057,7,11,30,31,34,9,12
11058,1,9,27,32,33,3,6
11059,9,16,21,29,34,7,10
11060,3,25,29,32,34,9,10
11061,6,7,16,18,20,4,10
11062,6,10,17,20,21,3,7
11063,10,17,18,26,32,1,5
11064,1,6,27,30,34,1,6
11065,3,11,14,25,34,1,4
11066,6,13,18,20,33,9,10
11067,10,17,22,24,32,3,10
11068,1,13,16,18,32,7,9
11069,3,5,28,29,33,4,12
11070,9,19,22,29,30,2,8
11071,27,31,33,34,35,4,6
11072,3,11,13,20,35,3,8
11073,13,19,20,22,33,5,11
11074,7,16,23,28,31,3,6
11075,6,9,20,23,28,6,10
11076,18,23,25,29,30,1,2
11077,5,8,19,33,34,1,12
11078,4,9,16,27,30,2,6
11079,1,3,23,30,31,2,10
11080,5,12,30,31,32,1,3
11081,4,13,20,21,35,2,9
11082,7,20,25,30,32,5,9
11083,6,8,18,20,24,4,8
11084,14,29,31,34,35,1,12
11085,2,17,19,21,22,3,10
11086,4,5,6,9,15,1,6
11087,6,13,20,25,34,7,9
11088,20,21,27,29,35,3,8
11089,5,6,23,27,34,3,4
11090,2,4,29,30,34,5,8
11091,11,17,23,29,30,6,8
11092,10,17,19,32,33,1,12
11093,4,6,8,19,31,10,11
11094,11,21,22,32,34,4,8
11095,9,12,17,19,29,6,11
11096,3,8,20,24,25,1,2
11097,4,19,28,31,33,11,12
11098,6,7,28,33,35,1,10
11099,2,6,9,12,20,5,8
11100,8,11,13,28,33,8,9
11101,5,12,20,28,30,3,7
11102,19,24,28,31,34,4,12
11103,3,4,26,29,34,1,3
11104,7,19,27,28,34,2,5
11105,2,11,26,32,33,5,12
11106,1,9,29,30,35,5,9
11107,2,6,18,30,32,1,8
11108,7,15,18,24,28,1,7
11109,1,11,12,22,34,8,10
11110,30,31,33,34,35,4,7
11111,2,11,13,23,31,11,12
11112,6,17,28,32,33,8,12
11113,4,5,7,10,12,4,5
11114,6,8,17,27,35,2,11
11115,17,26,30,31,35,6,11
11116,10,15,18,19,26,7,12
11117,10,12,28,32,33,3,5
11118,4,7,11,32,35,5,7
11119,4,15,20,26,31,6,12
