期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
11120,20,25,26,30,31,9,10
11121,2,3,30,31,33,3,9
11122,3,8,23,24,34,5,12
11123,10,14,18,19,35,1,6
11124,8,12,14,20,25,6,8
11125,7,10,27,34,35,10,12
11126,7,17,29,30,33,10,12
11127,1,11,22,26,29,5,8
11128,3,4,6,11,13,1,2
11129,1,7,13,18,23,4,8
11130,8,9,13,23,35,11,12
11131,3,5,12,18,33,7,11
11132,12,14,16,19,33,2,9
11133,4,11,23,26,35,3,12
11134,1,10,12,14,17,9,10
11135,6,22,29,33,35,3,12
11136,8,9,11,19,33,3,12
11137,2,15,18,23,31,1,2
11138,17,23,26,30,32,6,12
11139,4,6,10,15,16,3,4
11140,1,12,32,33,34,9,11
11141,2,11,19,22,35,10,12
11142,4,26,30,33,34,4,6
11143,8,9,12,25,33,7,10
11144,7,18,24,28,33,2,3
11145,7,15,19,24,29,4,6
11146,9,13,19,29,34,2,11
11147,1,15,16,27,28,2,7
11148,7,10,11,26,31,3,4
11149,2,7,12,29,31,3,5
11150,13,22,30,33,34,6,12
11151,7,11,14,20,27,3,10
11152,1,4,6,21,35,2,11
11153,6,22,29,30,35,3,5
11154,4,12,16,20,28,8,11
12001,7,27,28,32,33,1,12
12002,3,11,14,26,29,7,8
12003,16,22,24,33,34,3,10
12004,10,11,22,31,32,6,7
12005,1,2,29,31,33,7,12
12006,3,20,22,25,27,1,9
12007,4,5,13,17,25,7,10
12008,6,8,30,31,32,1,11
12009,6,14,20,29,35,9,10
12010,25,26,29,32,34,5,7
12011,5,19,22,29,30,2,4
12012,6,18,22,30,35,2,7
12013,7,8,11,12,24,1,2
12014,10,14,24,30,32,1,12
12015,12,13,24,26,33,6,8
12016,5,14,20,29,31,8,12
12017,6,11,22,29,34,3,12
12018,3,10,14,29,31,4,8
12019,7,9,17,30,34,1,12
12020,12,14,27,29,34,3,6
12021,10,15,21,31,34,7,8
12022,7,12,20,33,35,1,10
12023,7,9,17,29,35,9,10
12024,3,11,17,21,30,3,7
12025,1,2,5,12,27,4,7
12026,10,11,22,23,29,2,9
12027,3,10,11,22,31,5,7
12028,10,12,15,33,34,3,10
12029,4,7,8,18,29,7,10
12030,3,21,22,26,32,1,3
12031,19,21,23,25,30,3,8
12032,7,8,16,26,34,7,11
12033,8,13,19,27,32,1,8
12034,1,8,15,16,29,8,9
12035,1,4,30,32,35,8,12
12036,1,9,20,30,31,8,12
12037,9,13,27,31,35,3,10
12038,11,23,25,31,35,1,3
12039,15,21,22,24,35,1,5
12040,2,13,23,28,29,1,5
12041,1,2,13,22,23,2,10
12042,7,24,27,28,35,7,12
12043,1,6,25,31,34,3,9
12044,3,4,14,32,35,1,2
12045,5,11,17,20,28,11,12
12046,4,8,19,23,27,4,11
12047,5,7,17,30,34,3,10
12048,6,9,26,30,35,5,6
12049,9,18,22,27,31,10,12
12050,13,17,22,28,29,1,10
12051,1,2,17,18,33,5,12
12052,10,20,26,31,33,10,12
12053,11,12,26,28,31,7,12
12054,1,16,18,27,30,10,11
12055,7,22,26,32,33,1,8
12056,11,21,23,26,34,7,9
12057,1,2,14,33,34,3,5
12058,13,21,29,31,35,4,12
12059,9,13,19,21,27,3,4
12060,2,16,21,24,30,6,10
12061,5,10,14,27,33,7,9
12062,21,32,33,34,35,8,9
12063,11,25,26,29,35,1,2
12064,9,12,13,15,30,9,10
12065,10,22,28,29,34,5,11
12066,1,20,25,29,33,4,6
12067,20,22,27,30,33,1,2
12068,1,21,31,32,35,3,6
12069,2,4,22,25,34,2,11
12070,9,22,23,32,34,6,8
12071,13,23,29,31,34,6,8
12072,4,8,17,22,25,4,10
12073,18,23,29,33,34,2,7
12074,10,22,23,30,32,1,7
12075,7,9,10,18,22,5,10
12076,2,14,16,22,24,2,5
12077,10,30,32,33,34,2,3
12078,1,2,23,25,35,5,12
12079,1,5,25,32,33,1,10
12080,11,12,14,25,28,2,5
12081,10,16,17,30,35,1,8
12082,2,4,9,10,15,8,10
12083,16,19,28,29,31,5,8
12084,21,24,27,29,31,1,2
12085,7,18,29,31,33,10,12
12086,3,20,25,29,32,5,10
12087,1,6,7,21,31,4,11
12088,13,17,24,30,35,2,10
12089,6,12,21,29,32,6,11
12090,2,21,27,29,33,2,10
12091,3,10,28,31,33,1,9
12092,8,9,23,25,31,2,12
12093,2,16,21,31,33,4,11
12094,2,14,23,32,35,1,10
12095,6,9,22,27,30,8,12
12096,5,10,19,24,35,8,9
12097,9,17,24,29,32,1,2
12098,2,11,28,29,30,6,12
12099,12,18,24,25,32,2,12
12100,7,9,13,19,27,1,3
12101,2,5,8,9,31,3,7
12102,2,4,6,13,35,4,8
12103,2,9,18,23,24,1,4
12104,16,18,24,25,27,4,9
12105,5,6,14,15,31,6,8
12106,15,23,25,29,31,9,10
12107,4,7,9,22,33,1,3
12108,6,7,12,24,35,2,6
12109,1,22,30,32,35,9,11
12110,1,11,17,19,26,5,12
12111,1,24,25,30,33,4,11
12112,1,2,28,31,35,5,7
12113,3,10,22,27,29,3,12
12114,3,6,21,33,35,1,7
12115,1,6,13,19,23,6,9
12116,1,11,18,20,22,7,10
12117,1,12,18,21,33,7,8
12118,5,17,25,30,33,1,12
12119,5,6,9,19,32,6,9
12120,2,10,21,23,29,3,4
12121,7,18,20,29,30,5,6
12122,23,24,25,29,31,3,12
12123,5,8,18,30,33,1,9
12124,7,11,19,20,35,5,10
12125,6,14,17,22,35,1,2
12126,13,14,21,28,29,5,10
12127,12,13,14,25,35,10,12
12128,9,10,19,30,31,4,11
12129,1,7,21,28,31,3,9
12130,14,19,23,29,30,6,7
12131,2,16,18,27,30,8,12
12132,5,8,21,25,33,1,11
12133,5,7,13,29,30,1,5
12134,1,6,18,32,35,2,7
12135,3,5,17,18,33,6,7
12136,2,23,29,30,31,1,4
12137,3,12,20,21,27,1,6
12138,13,17,27,31,33,6,12
12139,9,10,12,22,25,4,11
12140,7,17,27,28,29,9,10
12141,3,11,19,23,34,2,12
12142,15,19,29,34,35,7,10
12143,9,27,29,30,31,3,6
12144,11,13,14,21,29,1,10
12145,5,22,31,33,35,6,9
12146,1,10,13,17,26,6,8
12147,2,3,17,19,33,2,9
12148,4,16,27,29,34,6,11
12149,2,10,23,33,34,5,10
12150,2,14,18,24,31,2,3
12151,3,19,20,24,33,3,4
12152,4,17,26,33,34,2,8
12153,8,9,10,13,22,5,10
12154,3,26,27,31,32,3,9
13001,6,9,11,31,32,5,11
13002,4,20,27,31,32,6,12
13003,1,16,18,21,31,9,12
13004,7,8,12,20,25,3,7
13005,18,22,26,28,31,10,12
13006,8,20,25,31,32,5,7
13007,14,29,32,33,34,3,6
13008,2,7,25,29,34,3,6
13009,10,17,19,27,29,5,12
13010,9,15,17,18,29,9,11
13011,1,2,8,15,23,6,9
13012,1,14,31,32,34,2,11
13013,13,15,29,30,35,1,11
13014,5,8,25,29,31,2,4
13015,14,15,26,32,33,1,11
13016,5,15,19,27,32,8,9
13017,11,14,22,29,34,5,11
13018,20,23,31,33,34,3,9
13019,6,12,17,29,30,7,11
13020,6,11,20,31,32,5,9
13021,23,24,28,30,33,1,11
13022,3,4,13,17,23,3,8
13023,5,19,24,26,35,5,7
13024,9,12,14,18,24,1,4
13025,3,23,25,26,28,10,12
13026,2,10,16,30,33,5,6
13027,3,12,14,24,35,3,8
13028,13,19,28,30,34,8,12
13029,5,7,17,25,26,4,10
13030,3,5,9,10,28,5,7
13031,12,17,18,26,32,10,11
13032,12,27,28,33,35,1,8
13033,12,18,22,28,31,1,11
13034,1,3,11,19,29,4,8
13035,5,14,28,32,34,7,8
13036,8,12,32,33,35,3,5
13037,2,26,31,32,34,6,8
13038,1,19,24,25,26,7,9
13039,6,23,30,33,35,7,10
13040,16,17,22,26,35,3,10
13041,3,13,14,15,34,5,8
13042,2,6,22,23,33,1,6
13043,7,13,25,34,35,7,9
13044,7,11,13,18,28,5,10
13045,8,11,12,21,25,2,7
13046,15,16,19,25,32,5,11
13047,12,20,28,30,35,3,11
13048,10,11,23,32,33,1,4
13049,18,22,25,31,32,4,6
13050,14,22,30,32,33,7,8
13051,5,8,15,18,33,7,8
13052,1,2,10,29,31,1,10
13053,13,31,33,34,35,5,7
13054,5,8,21,30,32,1,8
13055,4,5,22,23,24,3,9
13056,11,22,30,32,35,3,4
13057,7,15,27,33,35,7,10
13058,20,21,27,31,35,7,11
13059,3,8,11,24,27,7,12
13060,15,25,26,32,35,5,10
13061,1,14,18,21,32,5,10
13062,1,5,8,9,12,9,12
13063,3,5,11,27,28,5,6
13064,21,24,26,28,32,1,3
13065,9,28,31,34,35,2,9
13066,6,7,13,33,34,2,11
13067,2,3,5,8,29,10,12
13068,10,17,27,34,35,5,7
13069,6,12,13,16,30,7,12
13070,9,12,18,21,29,1,8
13071,13,19,26,27,28,3,11
13072,12,27,28,33,35,3,5
13073,3,5,23,27,31,2,6
13074,6,14,20,24,32,1,7
13075,1,11,13,19,35,7,8
13076,13,15,16,26,27,9,10
13077,24,26,30,32,35,6,12
13078,2,7,23,31,33,2,8
13079,9,10,17,21,34,1,7
13080,6,21,23,27,31,4,6
13081,7,9,15,17,23,2,7
13082,3,9,25,26,33,3,12
13083,26,29,30,32,35,4,10
13084,8,22,26,29,35,1,5
13085,8,19,23,27,32,3,5
13086,9,16,26,29,31,6,9
13087,9,12,22,32,34,2,4
13088,3,5,8,33,35,1,3
13089,6,7,23,24,29,4,11
13090,2,26,30,31,33,11,12
13091,4,9,28,34,35,2,8
13092,7,10,21,27,33,3,9
13093,1,5,17,18,26,5,7
13094,3,28,33,34,35,6,9
13095,3,17,28,30,33,1,10
13096,17,19,20,22,26,6,8
13097,7,8,13,17,32,3,8
13098,2,6,16,29,34,10,11
13099,4,11,28,30,33,5,12
13100,9,12,24,26,30,5,9
13101,4,9,13,15,32,2,9
13102,6,12,15,19,26,2,11
13103,5,8,13,16,31,3,9
13104,2,5,11,27,29,1,11
13105,7,13,27,30,34,1,12
13106,6,7,12,13,27,3,12
13107,7,13,14,18,25,5,12
13108,5,10,13,15,18,2,11
13109,13,20,26,29,32,2,6
13110,7,16,18,32,33,2,7
13111,7,12,13,20,27,1,3
13112,2,10,20,22,29,5,12
13113,19,21,23,28,30,8,12
13114,6,17,21,23,33,1,9
13115,5,16,29,32,34,4,11
13116,13,22,23,30,33,9,11
13117,5,16,23,25,33,7,12
13118,4,6,11,20,31,1,5
13119,1,2,16,23,35,1,11
13120,6,14,15,22,26,3,11
13121,3,18,19,20,24,3,12
13122,15,17,20,24,35,4,12
13123,2,9,10,33,34,5,12
13124,5,7,18,21,32,10,11
13125,4,8,14,23,28,4,8
13126,9,10,15,18,30,3,6
13127,3,14,16,19,32,5,10
13128,11,13,27,33,35,1,2
13129,11,23,29,30,33,1,4
13130,8,9,15,19,30,6,9
13131,12,15,29,30,31,4,12
13132,23,26,28,31,34,2,10
13133,2,8,10,16,17,9,12
13134,2,13,19,23,32,2,9
13135,4,13,19,25,26,7,12
13136,5,11,15,25,28,5,11
13137,4,12,32,33,34,6,8
13138,3,8,13,17,24,7,9
13139,5,6,18,20,31,6,7
13140,1,12,17,26,28,1,6
13141,5,15,18,25,31,8,10
13142,6,11,25,28,29,4,12
13143,3,8,14,21,31,6,8
13144,3,20,21,23,35,2,8
13145,2,13,15,18,20,2,11
13146,6,7,15,25,31,1,9
13147,3,9,22,24,25,5,9
13148,2,5,9,29,32,3,7
13149,6,7,8,9,13,5,7
13150,6,7,14,18,22,8,11
13151,2,13,21,27,30,3,4
13152,9,12,14,18,19,3,9
13153,4,5,16,17,30,3,9
14001,5,13,20,23,29,8,11
14002,1,12,21,24,29,1,7
14003,7,11,13,21,33,5,6
14004,7,10,19,27,28,9,12
14005,15,17,18,29,33,4,8
14006,1,4,7,16,35,6,8
14007,8,11,14,21,32,3,11
14008,11,13,20,28,35,1,5
14009,10,18,25,29,33,7,8
14010,5,10,20,26,27,1,3
14011,4,6,14,24,35,7,12
14012,9,20,21,23,29,5,7
14013,10,11,13,22,28,4,12
14014,1,9,11,27,29,3,11
14015,4,6,18,20,30,5,7
14016,4,6,13,24,34,4,9
14017,5,10,11,23,34,1,10
14018,8,9,12,28,34,2,12
14019,7,12,22,29,32,11,12
14020,1,14,17,30,35,6,7
14021,6,10,17,23,24,3,9
14022,3,6,10,16,25,10,11
14023,4,13,15,29,33,5,9
14024,7,11,15,31,32,6,11
14025,19,20,27,32,34,6,8
14026,5,10,12,15,26,4,8
14027,9,10,24,28,29,10,12
14028,3,10,20,25,30,10,12
14029,3,21,22,23,35,5,9
14030,3,14,18,29,35,11,12
14031,6,15,27,32,33,3,4
14032,2,5,6,9,31,2,9
14033,1,7,8,28,29,4,8
14034,3,11,14,27,32,5,7
14035,9,12,14,28,29,3,10
14036,1,2,12,17,29,3,8
14037,3,4,8,19,34,2,4
14038,7,8,12,20,32,3,5
14039,2,5,11,15,20,8,11
14040,12,15,21,30,33,2,8
14041,5,7,11,15,18,5,12
14042,16,21,25,27,35,6,11
14043,1,11,23,29,30,1,12
14044,22,23,25,27,35,3,11
14045,6,10,12,16,30,2,11
14046,3,15,18,21,26,1,6
14047,6,17,18,30,34,6,12
14048,1,2,5,15,35,1,11
14049,3,15,17,22,31,3,5
14050,10,18,27,28,35,1,6
14051,1,7,11,29,30,3,11
14052,14,19,21,24,30,2,7
14053,2,11,17,27,30,3,4
14054,2,3,20,25,34,1,12
14055,4,23,26,27,35,10,11
14056,12,18,28,29,35,7,8
14057,8,10,20,27,33,1,9
14058,9,15,22,24,26,2,7
14059,7,15,17,25,29,4,11
14060,12,22,29,30,34,5,11
14061,4,11,17,20,29,6,10
14062,4,7,17,24,25,2,4
14063,11,17,21,23,34,3,4
14064,8,15,33,34,35,1,8
14065,7,12,19,31,33,7,12
14066,8,14,16,20,31,3,11
14067,3,18,23,24,31,3,7
14068,5,15,24,29,35,5,6
14069,16,22,27,29,31,2,9
14070,1,2,7,10,32,4,12
14071,4,14,15,22,23,1,7
14072,17,19,22,24,30,2,9
14073,4,5,7,13,35,5,6
14074,6,11,22,27,30,5,11
14075,5,7,29,32,35,4,10
14076,5,10,19,31,32,9,10
14077,9,16,26,31,32,1,5
14078,10,15,16,22,28,4,5
14079,9,10,20,31,32,6,10
14080,17,20,23,25,27,3,10
14081,3,5,8,10,25,9,12
14082,1,8,18,23,25,8,12
14083,18,20,24,33,35,5,10
14084,2,7,9,11,28,5,9
14085,6,12,13,25,29,11,12
14086,6,8,27,29,35,3,9
14087,4,7,31,33,35,9,10
14088,7,13,20,25,26,8,11
14089,2,8,12,29,30,7,12
14090,2,3,20,23,28,6,8
14091,10,16,18,29,32,2,7
14092,2,18,27,30,32,5,11
14093,3,8,30,32,34,9,11
14094,13,14,24,25,34,4,7
14095,6,22,30,31,34,5,6
14096,3,7,21,23,31,5,10
14097,3,15,20,21,23,7,9
14098,16,18,22,25,35,3,10
14099,15,21,22,23,33,1,7
14100,2,4,8,12,35,1,7
14101,9,10,12,17,28,3,11
14102,1,7,14,19,20,3,12
14103,14,20,23,25,26,10,12
14104,7,13,14,28,32,4,11
14105,4,10,26,29,32,4,8
14106,5,9,11,20,22,5,11
14107,5,13,14,21,34,8,10
14108,1,2,13,23,35,9,12
14109,15,18,20,21,23,1,2
14110,9,18,19,22,24,8,11
14111,11,16,18,20,29,3,4
14112,3,5,14,18,32,2,10
14113,2,13,17,19,23,1,6
14114,3,16,24,30,33,5,8
14115,1,5,26,29,30,2,10
14116,6,13,15,24,27,4,5
14117,3,14,17,18,33,6,9
14118,2,3,23,24,26,5,11
14119,4,8,9,13,18,8,12
14120,1,4,6,18,33,5,11
14121,13,16,18,22,32,8,10
14122,3,10,25,26,35,1,7
14123,1,9,12,22,25,2,9
14124,1,3,28,29,35,8,12
14125,12,15,19,23,31,4,10
14126,2,9,22,30,34,9,10
14127,2,4,6,15,19,2,11
14128,2,4,16,22,34,8,11
14129,7,22,28,30,32,5,6
14130,2,18,31,32,33,5,7
14131,3,16,19,23,27,3,7
14132,1,3,4,19,32,1,7
14133,2,8,12,14,18,4,12
14134,2,5,7,11,32,9,12
14135,20,26,28,30,35,9,12
14136,4,18,20,34,35,7,11
14137,2,11,16,22,34,2,5
14138,1,7,29,32,34,9,12
14139,3,5,7,15,34,1,10
14140,1,19,20,25,34,7,12
14141,4,17,20,26,29,5,8
14142,18,21,25,28,30,4,6
14143,1,11,14,18,25,6,10
14144,1,21,24,25,35,4,11
14145,15,19,22,24,26,10,11
14146,2,16,23,24,28,10,11
14147,5,9,14,26,34,2,9
14148,3,9,10,11,20,7,9
14149,2,13,19,26,35,1,5
14150,19,21,30,33,35,5,7
14151,3,8,26,31,32,8,12
14152,5,12,18,24,33,1,5
14153,1,8,13,24,32,5,10
14154,5,12,17,23,28,2,9
15001,8,9,19,27,30,6,7
15002,3,14,20,26,32,6,10
15003,12,19,27,28,34,1,12
15004,3,12,14,18,28,5,6
15005,11,14,15,18,19,7,8
15006,6,8,30,32,33,3,7
15007,2,7,8,14,31,4,8
15008,7,10,11,15,17,3,10
15009,17,22,26,27,33,6,10
15010,2,6,17,30,35,2,7
15011,4,13,22,25,30,1,6
15012,3,4,6,11,31,5,9
15013,11,15,25,28,35,7,10
15014,8,16,25,29,35,3,10
15015,1,5,13,17,32,4,11
15016,6,7,16,20,34,9,11
15017,7,13,16,17,29,1,7
15018,4,7,10,23,31,3,7
15019,2,8,16,22,24,1,3
15020,11,26,28,29,32,1,4
15021,22,23,24,26,31,5,6
15022,9,11,14,15,26,11,12
15023,6,9,11,12,22,3,11
15024,2,6,8,16,34,3,4
15025,7,10,20,22,27,10,11
15026,11,13,14,15,22,2,8
15027,5,21,22,25,28,3,10
15028,3,9,28,32,33,9,10
15029,7,10,19,30,35,3,5
15030,9,18,19,26,31,2,5
15031,7,21,29,32,33,4,12
15032,6,21,25,27,30,7,11
15033,3,17,22,26,28,3,7
15034,4,8,15,18,26,5,9
15035,22,24,29,30,35,1,10
15036,14,18,20,23,24,4,8
15037,10,16,21,28,31,7,8
15038,12,19,22,31,35,7,8
15039,3,6,7,16,25,1,6
15040,2,9,10,23,35,9,12
15041,1,11,21,23,28,1,10
15042,3,7,12,17,24,2,11
15043,2,20,22,25,29,2,7
15044,16,18,27,31,33,1,3
15045,8,9,22,29,30,8,12
15046,5,7,10,22,26,4,10
15047,1,2,17,23,31,5,12
15048,10,11,22,24,33,2,9
15049,8,9,11,15,22,8,10
15050,6,7,10,20,28,2,7
15051,1,2,11,16,21,1,5
15052,13,19,24,27,29,7,8
15053,8,25,28,29,32,4,7
15054,2,9,15,24,34,3,9
15055,6,11,14,20,30,5,10
15056,6,12,19,26,35,3,10
15057,1,5,7,14,26,4,6
15058,10,14,20,27,30,7,12
15059,7,9,19,23,32,1,3
15060,16,24,25,26,33,4,11
15061,6,7,8,16,22,2,10
15062,6,7,13,14,15,1,4
15063,1,4,6,34,35,2,4
15064,2,8,20,28,31,7,10
15065,4,5,7,13,35,8,11
15066,1,3,7,13,29,2,10
15067,4,10,18,24,27,4,11
15068,2,3,20,31,35,4,8
15069,2,9,11,22,25,1,7
15070,3,9,12,17,18,4,12
15071,4,6,13,16,34,4,10
15072,19,20,21,31,33,9,10
15073,9,26,27,30,34,1,6
15074,1,12,21,27,33,4,9
15075,13,14,26,27,33,10,12
15076,3,19,21,31,34,5,12
15077,1,16,17,22,28,2,9
15078,19,24,26,28,33,1,2
15079,1,9,17,23,24,4,5
15080,14,20,29,30,32,3,8
15081,3,4,10,13,17,5,9
15082,8,15,28,31,33,3,6
15083,14,16,19,25,29,10,12
15084,10,20,21,32,34,6,7
15085,2,3,4,6,16,3,12
15086,5,9,11,15,32,4,9
15087,2,5,15,17,22,1,11
15088,5,15,28,31,34,11,12
15089,5,12,18,20,27,10,12
15090,6,9,11,17,21,6,8
15091,2,7,28,29,30,3,7
15092,2,14,21,27,34,5,8
15093,16,17,25,26,27,2,4
15094,2,3,10,11,29,3,7
15095,8,14,26,34,35,5,10
15096,3,9,12,18,21,2,6
15097,4,16,17,26,27,1,4
15098,9,14,21,27,33,6,9
15099,9,12,14,22,25,5,10
15100,9,15,18,23,32,5,7
15101,6,12,17,18,32,7,12
15102,11,14,15,33,34,3,12
15103,7,9,15,25,34,4,10
15104,16,19,25,30,34,4,9
15105,8,9,15,21,27,5,9
15106,2,11,13,22,30,2,3
15107,3,23,25,28,29,6,7
15108,1,13,16,26,31,7,12
15109,1,6,11,22,31,3,12
15110,2,7,10,22,30,7,11
15111,7,8,16,24,28,3,10
15112,4,5,15,19,28,4,11
15113,1,14,21,29,33,2,10
15114,9,18,24,31,34,2,10
15115,8,12,13,14,16,3,9
15116,7,10,19,24,33,3,7
15117,6,17,20,30,33,10,11
15118,3,7,20,24,31,4,9
15119,1,8,12,16,21,6,11
15120,1,9,15,24,32,5,10
15121,2,4,17,27,28,4,6
15122,11,13,15,26,35,6,11
15123,4,15,27,29,30,2,10
15124,4,6,12,31,32,3,6
15125,2,3,15,17,28,8,10
15126,4,5,8,9,21,3,6
15127,9,11,14,19,30,3,8
15128,10,12,23,30,32,3,4
15129,1,6,23,25,29,3,9
15130,17,25,31,32,34,2,12
15131,11,17,19,20,27,2,3
15132,3,8,14,18,27,1,5
15133,3,7,8,25,30,4,8
15134,1,2,6,15,35,4,7
15135,5,16,20,25,29,6,8
15136,5,20,23,29,32,2,10
15137,14,17,21,23,26,8,11
15138,1,16,20,29,32,4,7
15139,2,3,5,25,32,5,7
15140,1,11,15,26,35,6,11
15141,2,4,15,19,31,2,3
15142,12,14,22,26,30,3,6
15143,9,20,31,33,35,10,11
15144,1,9,24,26,29,6,11
15145,6,7,20,29,32,11,12
15146,4,15,19,27,31,4,11
15147,1,2,13,18,19,8,10
15148,8,11,27,31,33,8,9
15149,4,6,10,12,28,2,8
15150,4,13,18,25,33,3,7
15151,15,16,18,30,35,1,7
15152,4,5,22,29,35,2,11
15153,1,7,22,27,33,2,11
16001,1,7,19,20,30,5,10
16002,7,12,18,25,35,7,9
16003,4,12,17,22,26,6,7
16004,10,20,23,32,35,9,10
16005,6,9,12,15,20,8,11
16006,14,16,17,22,24,2,9
16007,2,5,14,32,35,1,3
16008,5,12,31,34,35,4,5
16009,5,8,10,17,20,2,12
16010,12,13,15,16,28,2,5
